FID,My_FID4,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Type2,References,Type_URL,Time_span,X,Y
289,124,Culhuacan,Culiacan,Culiacan Rosales,1, , ,0, , ,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-107.393611,24.808611
290,125,Xilotepec, ,Jilotepec,1, ,Cabecera,28,Depends on, ,Acuña 1985;INEGI: MEX_topoloc, ,https://en.wikipedia.org/wiki/16th_century,-96.95153637,19.61217923
52,126,Ilihuizapan, ,Orizaba,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.10361111,18.84972222
291,127,Zacatecas,Las Zacatecas,Cerro del Grillo,1, ,Mining Camp,0, , ,Acuña 1987;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,https://en.wikipedia.org/wiki/16th_century,-102.5795724,22.77667536
29,128,Itzocan,Izúcar;Izúlar;Izúlar;Zúlar;Itzucan,Izúcar de Matamoros,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.465,18.60305556
74,129,Itztlohtlan, ,Estetla,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.09583333,17.02583333
292,130,Nueva España, ,México,1, , ,0, , ,Allocated by research, ,https://en.wikipedia.org/wiki/16th_century,-99.12477328,19.45212213
184,131,Iztac, ,Iztaccihatl,1,Sierra nevada de Huexotzinco Iztaccihuatl,Hill,0, , ,Acuña 1984;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,https://en.wikipedia.org/wiki/16th_century,-98.64196194,19.17833389
115,132,La Laguna, , ,1, ,Lake,0, , ,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,https://en.wikipedia.org/wiki/16th_century,-99.02290458,19.48152069
293,133,Las Indias,Nuevo Mundo,Las Indias Occidentales,1, , ,0, , ,Allocated by research, ,https://en.wikipedia.org/wiki/16th_century,-75.351208,19.24294408
294,134,Gran India,La Gran India,India,1, , ,0, , ,GoogleMaps, , ,0,0
244,135,Mar del Norte, , ,1, ,Sea,0, , ,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,https://en.wikipedia.org/wiki/16th_century,-94.64480019,20.00849701
164,136,Mar del Sur, , ,1, ,Sea,0, , ,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,https://en.wikipedia.org/wiki/16th_century,-97.03372485,14.27339534
93,137,Maroatio, ,Maravatio,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-100.4425,19.89277778
295,139,India de Portugal, ,Río de Janeiro,1, , ,0, , ,GoogleMaps, , ,0,0
124,142,Mazaapan, ,San Francisco Mazapa,1, , ,0, , ,Acuña 1984;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.833889,19.690833
105,147,Metztitlan,Mextitlan;Maxtitlan,Metztitlan,1, , ,0, , ,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.76306062,20.5943101
