FID,My_FID6,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID6,FID_Relat2,Type2,References,Type_URL,X,Y,Time_span
195,121,Chalchiuhtepetl, ,Chalchiltepetl,1, ,Hill,531,Near,121,0, ,Acuña 1985;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-99.11013166,18.97548028,https://en.wikipedia.org/wiki/16th_century
140,123,Chapultepeque, ,Chapultepec,1, ,Sujeto,579,Depends on,123,0, ,Acuña 1985;GeoNames_MX, ,-99.94584,17.8107,https://en.wikipedia.org/wiki/16th_century
300,124,Chiantepeque, ,Paso Chantepec,1, ,Sujeto,579, ,124,0, ,Acuña 1985;GeoNames_MX, ,-100.0605,17.7676,https://en.wikipedia.org/wiki/16th_century
35,126,Chiapa, ,Chapa,2, ,Estancia,494,Depends on,126,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.82388889,18.32555556,https://en.wikipedia.org/wiki/16th_century
291,127,Chiapan, ,Chapa De Mota,1, , ,0, ,127,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.52638889,19.81527778,https://en.wikipedia.org/wiki/16th_century
298,128,Chichihualco, ,Chichihualco,1, ,Estancia,513, ,128,0, ,Acuña 1985;GeoNames_MX, ,-99.6756,17.6567,https://en.wikipedia.org/wiki/16th_century
124,131,Chicoaloapan, ,Chicoloapan,1, , ,0, ,131,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.90111111,19.41527778,https://en.wikipedia.org/wiki/16th_century
444,134,Chicomocelotl, , ,2,No name available,Hill,531, ,134,0, ,"Acuña 1985;Brotherston, 1998: 92",https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-99.0949,19.0047,https://en.wikipedia.org/wiki/16th_century
253,135,Chiconamelco,Chiconamel,Chiconamel,1, , ,0, ,135,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.45916667,21.22916667,https://en.wikipedia.org/wiki/16th_century
117,136,Chiconauhtlan, ,Chiconautla,1, , ,0, ,136,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.005,19.63944444,https://en.wikipedia.org/wiki/16th_century
208,137,Cerro Chiconquiyahuitl,Chiconquiyahuitl, ,2, ,Hill,195,Near,137,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.63353927,19.99641388,https://en.wikipedia.org/wiki/16th_century
49,139,Chilacachapa, ,Chilacachapa,1, ,Estancia,157,Depends on,139,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.76083333,18.27222222,https://en.wikipedia.org/wiki/16th_century
96,140,Chilapan, ,Chilapa,1, , ,0, ,140,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.17666667,17.59861111,https://en.wikipedia.org/wiki/16th_century
367,141,Chimalapa,Chimalpa,San Sebastián Chimalpa,1,"It may be a pueblo, estancia or barrio dependant on Chimalhuacan", ,382, ,141,0, ,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.9531,19.3818,https://en.wikipedia.org/wiki/16th_century
165,143,Chinameca,Las Chinamecas,Chinameca,1, ,Estancia,204,Depends on,143,0, ,Acuña 1985;Google Maps;Atlas 2010, ,-98.999167,18.623056,https://en.wikipedia.org/wiki/16th_century
7,146,Cholula, ,Cholula De Rivadabia,1, ,City,0, ,146,0, ,Acuña 1985;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=202,-98.30177942,19.05826813,https://en.wikipedia.org/wiki/16th_century
289,147,Serranía Cihuacayo,Cihuacayo, ,2, ,Mountain Range,195,Near,147,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-98.62313909,20.00765743,https://en.wikipedia.org/wiki/16th_century
209,148,Cihuacyocan,Cihuacayo;Cihuayuca, ,2, ,Hill,195,Near,148,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.62140444,20.01743948,https://en.wikipedia.org/wiki/16th_century
84,151,Cimapan,Real de San Juan;Minas de Cimapan;Santiago Cimapan,Zimapan,1, ,Mining Camp,0, ,151,0, ,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.38276541,20.7377532,https://en.wikipedia.org/wiki/16th_century
485,152,Citepec, , ,2,Dissapeared, ,0, ,152,0, ,Acuña 1985;Ballesteros 2005,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.7018,20.0208,https://en.wikipedia.org/wiki/16th_century
107,153,Citlaltomahua,Citlaltomahuacan, ,2, , ,0, ,153,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-100.0795773,17.32313891,https://en.wikipedia.org/wiki/16th_century
372,154,Coacalco, ,San Francisco Coacalco,1, ,Cabecera,0, ,154,0, ,Acuña 1985;Gerhard 1972;Google Earth, ,-99.1043,19.6289,https://en.wikipedia.org/wiki/16th_century
75,155,Coacalco, ,Coacalco,1, ,Barrio,189,Depends on,155,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.09305556,19.63333333,https://en.wikipedia.org/wiki/16th_century
